lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015,16-07-2015,17-07-2015,18-07-2015,19-07-2015,20-07-2015,21-07-2015,22-07-2015,23-07-2015,24-07-2015,25-07-2015,26-07-2015,27-07-2015,28-07-2015,29-07-2015,30-07-2015
26.15,89.47,39.0,0.0,0.0,0.0,0.4,15.8,23.8,48.8,0.0,0.0,12.4,1.6,8.8,0.0,0.0,0.0,0.2,30.8,11.2,3.4,6.8,3.1,60.9,19.2,103.2,31.0,9.8,100.4,30.1,9.0,3.6,1.1,21.0
26.15,94.55,1202.0,24.98055649,265.8925476,1.6,4.6,42.2,4.2,1.2,0.8,0.0,0.0,12.8,42.8,49.4,2.6,0.0,0.0,2.4,1.3,0.8,0.7,0.9,0.3,0.1,6.7,3.9,5.4,1.6,10.3,3.1,2.8,3.2,1.0
26.17,89.25,44.0,0.954100311,48.09241104,78.0,0.1,40.2,55.4,111.4,0.6,0.0,29.2,0.0,4.8,14.2,0.0,7.0,9.8,66.2,50.6,112.7,41.2,36.3,11.2,30.4,68.8,118.1,35.4,30.6,17.1,36.2,89.7,30.5,9.2
26.17,90.63,43.0,2.222562313,106.6552124,0.0,0.0,0.0,9.0,47.4,0.0,0.0,2.0,0.0,26.2,0.0,0.0,0.0,25.4,31.8,18.5,22.3,6.7,19.2,5.8,23.6,7.1,2.1,0.6,35.4,24.6,7.4,2.2,0.7,36.6
26.17,92.35,61.0,2.333763838,114.1678696,1.6,19.4,2.2,0.8,16.4,6.0,3.2,56.8,16.2,0.0,1.2,0.0,33.8,0.0,41.2,13.0,21.2,7.8,2.7,2.0,0.6,1.7,13.4,4.0,7.1,3.1,0.9,0.3,21.2,21.2
26.17,92.67,64.0,1.19071734,323.3945007,0.0,1.2,10.2,25.3,8.4,0.0,5.3,61.7,16.4,0.0,0.0,10.7,23.4,0.6,40.6,12.2,3.7,10.0,8.8,2.6,0.8,13.1,3.9,3.6,98.6,29.9,15.2,9.4,6.0,25.3
26.18,90.63,44.0,10.55096722,273.4237976,0.0,0.0,0.0,20.0,36.0,0.0,0.0,1.2,5.0,24.0,0.0,0.0,0.0,25.0,12.0,3.6,1.1,0.3,24.8,7.4,4.9,1.5,0.4,0.1,0.0,0.0,0.0,0.0,4.1,3.5
26.2,94.82,1877.0,15.39924431,341.6348267,4.1,39.1,20.1,1.3,4.1,3.0,0.0,0.0,0.0,37.2,9.1,17.3,4.1,2.0,14.2,4.3,18.2,28.1,8.4,6.2,34.8,10.4,7.7,12.0,11.1,3.3,3.2,3.6,17.8,23.1
26.23,94.5,703.0,8.073673248,105.9296799,5.4,18.8,8.2,6.0,32.6,0.0,0.0,0.0,0.0,6.2,4.6,0.0,1.8,0.0,4.6,1.4,6.3,15.0,15.5,4.6,4.6,3.1,10.7,3.2,3.5,13.8,6.4,5.9,8.4,5.0
26.27,94.12,281.0,11.08931541,246.5922241,0.0,0.0,0.0,12.2,0.0,15.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,6.4,1.9,0.6,0.2,0.1,14.5,4.4,1.3,0.4,0.1,0.0,0.0,13.9,4.2,1.3
26.3,90.45,45.0,1.421557546,90.0,0.0,2.4,20.4,32.2,21.0,0.0,0.0,13.4,0.0,27.4,0.0,0.0,0.0,10.2,23.4,21.8,6.5,16.1,10.3,3.1,0.9,3.8,1.1,0.3,0.1,0.0,31.1,9.3,6.9,2.1
26.3,93.88,113.0,2.663647413,68.98286438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,6.1,3.3,1.0,0.3,1.3,0.4,0.1,0.5,0.2,0.1,0.0,0.0,1.4,1.9,0.6,0.2
26.32,89.65,38.0,0.637305915,0.0,77.2,2.8,55.6,122.8,124.4,5.2,0.0,4.0,0.0,12.8,0.6,0.0,1.4,29.0,99.0,29.9,9.0,4.0,20.6,37.8,11.7,16.2,8.9,68.8,39.2,17.3,64.8,21.7,28.0,8.4
26.32,91.02,42.0,0.355517298,90.0,0.0,0.0,1.0,37.6,13.2,4.0,0.0,1.2,0.0,52.2,0.4,0.0,0.0,19.2,60.8,18.2,9.4,5.8,11.7,3.6,1.1,0.3,0.1,2.9,48.5,26.5,12.3,9.9,3.0,0.9
26.33,89.23,47.0,1.558106184,65.86161041,53.0,38.8,7.8,16.6,22.6,3.4,0.0,7.6,0.0,0.0,0.6,0.0,0.0,6.0,45.8,16.4,4.9,3.4,1.0,5.1,2.5,8.3,15.7,5.8,8.5,100.0,42.0,86.8,32.2,11.0
26.33,89.47,42.0,3.60743618,280.1623535,22.5,49.8,9.0,6.0,17.0,0.6,0.0,4.4,0.0,0.6,0.8,0.0,0.0,8.6,19.9,6.0,1.8,12.0,23.9,7.3,18.9,5.7,3.7,1.9,0.6,35.6,18.6,5.8,1.7,15.0
26.33,91.67,52.0,0.729762614,209.1562195,0.0,0.0,0.0,0.0,86.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.4,0.1,0.0,0.0,4.9,1.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0
26.33,94.53,1340.0,8.494484901,321.446228,0.0,0.0,6.0,4.3,0.0,9.3,3.4,0.0,0.0,38.3,3.0,4.2,0.0,0.0,0.0,0.0,0.0,1.7,0.5,0.2,0.1,0.0,0.0,0.9,0.3,0.1,0.0,1.4,0.4,11.4
26.38,90.27,43.0,1.113541722,253.3731537,0.0,34.0,81.0,77.0,79.2,0.0,4.2,18.2,0.0,39.6,2.2,0.0,0.8,90.4,53.8,16.1,102.3,34.7,10.4,3.1,25.1,7.5,2.2,0.7,5.0,5.2,99.0,35.2,14.5,4.4
26.42,91.5,52.0,0.729897261,330.8248291,0.0,0.0,0.0,0.0,70.0,10.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,60.8,18.2,5.5,1.6,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
26.45,91.62,60.0,1.243316531,120.8322372,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,1.5,0.4,0.1,0.0,4.2,1.3,2.5,0.8,0.2,0.1,0.0,6.8,2.0,0.6,0.2
26.48,89.52,50.0,1.020029306,159.574585,14.6,9.4,102.4,28.6,12.0,0.0,0.0,1.0,0.0,5.4,1.2,0.0,6.0,19.0,150.8,47.0,14.1,5.5,5.1,5.4,27.6,8.3,12.6,3.8,1.1,6.0,4.1,1.2,19.6,5.9
26.5,91.0,44.0,0.318662822,180.0,0.0,0.0,4.4,36.2,14.2,3.0,0.0,0.2,0.0,12.8,0.4,0.0,0.0,23.4,12.4,3.9,1.2,5.7,1.7,8.5,2.6,8.3,2.6,1.4,2.3,3.6,1.1,3.9,1.6,0.5
26.52,89.2,61.0,1.910873413,228.1785736,22.4,57.6,36.4,14.2,34.4,14.6,0.0,26.2,0.0,6.6,0.0,0.0,22.2,1.2,44.8,21.1,6.3,85.4,25.6,15.0,4.5,24.1,23.4,38.1,11.4,3.4,21.6,13.8,22.5,13.2
26.52,89.8,59.0,0.780267358,65.89682007,40.4,11.6,36.6,113.2,88.8,0.2,0.0,11.4,0.0,31.4,0.0,0.0,6.8,31.6,65.6,32.3,9.7,3.8,1.1,14.1,4.2,18.0,102.9,77.9,35.8,18.4,51.1,16.5,90.9,124.7
26.52,93.97,103.0,0.780267358,245.8968201,0.0,2.1,0.0,0.0,2.2,14.6,12.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,33.6,45.5,13.6,4.1,1.2,0.4,0.1,6.0,1.8,0.5,0.2,0.1,0.0,10.4,3.1,2.3
